id,brand,category,subcategory,subsubcategory,color,gender,herhaalaankopen,name,price.selling_price,recommendable
35232,Dorall,Make-up & geuren,Geuren en geschenkset,Herengeuren,,Man,True,Dorall Men Eau De Toilette 21st Year 100 ml,399,False
35226,Cosmo,Make-up & geuren,Geuren en geschenkset,Herengeuren,,Man,True,Cosmo Men Eau de Toilette Surrender me 100 ml,499,False
35271,Dextro,Eten & drinken,Snacks en snoep,Snacks en snoep,,Kinderen,True,Dextro Enerygy Bosvruchten 50 gr,129,False
5644,Always,Gezond & verzorging,Persoonlijke hygiene,Inlegkruisjes,,Vrouw,True,Always Normaal Kamille Inlegkruisjes 58 st,399,False
27708,Anta Flu,Eten & drinken,Snacks en snoep,Snacks en snoep,,Unisex,True,Anta Flu Keelpastilles Eucalyptus Menthol 175 gr,129,False
20144,Always,Gezond & verzorging,Persoonlijke hygiene,Inlegkruisjes,,Vrouw,True,Always Normaal Kamille Inlegkruisjes 30 st,249,False
24977,Palmolive,Gezond & verzorging,Lichaamsverzorging,Bad en douche,,Man,True,Palmolive Men Revitalising 2 in 1 Douche & Shampoo 250 ml,99,False
28033,,,,,,,True,Tempo Zakdoekjes 10st Cotton Touch Complete Care,179,False
35234,Dextro,Eten & drinken,Snacks en snoep,Snacks en snoep,,Kinderen,True,Dextro Energy Orange 50 gr,129,False
29207,Airwick,Wonen & vrije tijd,Woonaccessoires,Kaarsen,,Unisex,True,Airwick Essential Oils Appel & Kaneel Geurkaars 105 gr,249,False
34518,Anta Flu,Eten & drinken,Snacks en snoep,Snacks en snoep,,Unisex,True,Anta Flu Verzorgende Keelpastilles Classic 175 g,129,False
35260,BodyX,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,Body-X Fuze Pulse Deospray 150 ml,99,False
35258,BodyX,Gezond & verzorging,Lichaamsverzorging,Bad en douche,,Man,True,Body-X Fuze 2 in 1 Energy Douche 300ml,99,False
35261,BodyX,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,Body-X Fuze Energy Deospray 150 ml,99,False
35259,BodyX,Gezond & verzorging,Lichaamsverzorging,Bad en douche,,Man,True,Body-X Fuze 2 in 1 Pulse Douche 300 ml,99,False
35294,Sanex,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,Sanex Men Natur Protect Deoroller 50ml,179,False
35262,BodyX,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,Body-X Fuze Active Deospray 150 ml,99,False
35295,Sanex,Gezond & verzorging,Lichaamsverzorging,Deodorant,,Man,True,Sanex Men Active Control Anti Transpirant Deodorant Roller 50 ml,179,False
